id,titulo,autor_id,anio_publicacion,genero,plataforma,viral_en_tiktok
1,Antes de diciembre,1,2020,Romance Juvenil,Wattpad,True
2,Perfectos mentirosos,2,2019,Misterio/Romance,Wattpad,True
3,A través de mi ventana,3,2019,Romance,Wattpad,True
5,moon,32,2025,ficcion,wattpad,False
8,quimica,24,2024,drama,booknet,True
9,No te enamores de Nika,9,2020,Drama/Romance,Wattpad,True
10,Tres meses,10,2021,Drama/Romance,Wattpad,True
11,Mi amor de Wattpad,11,2020,Romance Juvenil,Wattpad,True
12,Mi estúpido niñero,12,2021,Comedia Romántica,Wattpad,True
13,Fleur. Mi desesperada decisión,13,2022,Drama/Romance,Wattpad,True
14,Boulevard,14,2023,Romance Dramático,Wattpad,True
15,Un hombre indomable,15,2021,Romance Adulto,Booknet,False
16,Ajena,16,2021,Romance Contemporáneo,Booknet,False
17,Epílogo de sombríos,17,2022,Misterio/Fantasía,Wattpad,False
18,Mala influencia,18,2022,Romance Juvenil,Wattpad,True
19,Mentiras y secretos,19,2021,Thriller/Romance,Wattpad,True
20,Peligros y verdades,20,2021,Thriller/Romance,Wattpad,True
21,El quarterback y yo,21,2022,Romance Deportivo,Wattpad,False
22,Boulevard,22,2020,Romance Dramático,Wattpad,True
23,Maldito en tus brazos,23,2022,Romance Erótico,Booknet,False
24,Leo ama a Aries,24,2020,Romance LGBT,Booknet,False
25,Abzurdah,25,2021,Drama Juvenil,Wattpad,False
26,Culpa mía,26,2019,Romance Juvenil,Booknet,True
27,Culpa tuya,27,2020,Romance Juvenil,Booknet,True
28,Vampyr,28,2021,Fantasia Oscura,Wattpad,False
29,Historias de Wattpad,29,2023,Varios géneros,Wattpad,True
30,My Wattpad Love,30,2019,Romance Juvenil,Wattpad,True
