id,nombre,nombre_libro,genero
1,Joana Marcus,Antes de diciembre,Romance Juvenil
2,Alex Mirez,Perfectos mentirosos,Misterio/Romance
3,Ariana Godoy,A través de mi ventana,Romance
4,María Martínez,El chico de arriba,Romance
5,Luna Dangelis,Perfecto caos,Romance Dramático
6,Luna Benítez,Las luces de febrero,Romance
7,Karla Soriano,Lujuria,Romance Erótico
8,Sasha Miles,Una perfecta equivocación,Romance
9,Nikol Mars,No te enamores de Nika,Drama/Romance
10,Anna Todd,Tres meses,Drama/Romance
11,Iliana Alvarado,Mi amor de Wattpad,Romance Juvenil
12,Daniela Guerrero,Mi estúpido niñero,Comedia Romántica
13,Laila Winter,Fleur. Mi desesperada decisión,Drama/Romance
14,Flor Salvador,Boulevard,Romance Dramático
15,Ely Blake,Un hombre indomable,Romance Adulto
16,Lisa Jhonson,Ajena,Romance Contemporáneo
17,Irina Caruso,Epílogo de sombríos,Misterio/Fantasía
18,Belén Caputo,Mala influencia,Romance Juvenil
19,Emily Black,Mentiras y secretos,Thriller/Romance
20,Rebeca Stones,Peligros y verdades,Thriller/Romance
21,Victoria Aveyard,El quarterback y yo,Romance Deportivo
22,Flor M. Salvador,Boulevard,Romance Dramático
23,Miranda Lovera,Maldito en tus brazos,Romance Erótico
24,luna,nicol,suspenso
25,Cielo Latini,Abzurdah,Drama Juvenil
26,Mercedes Ron,Culpa mía,Romance Juvenil
27,Mercedes Ron,Culpa tuya,Romance Juvenil
28,Carolina Andújar,Vampyr,Fantasia Oscura
